,pos,neu,neg,likes,views
0,0.19199202111081104,0.1768881455976111,0.01345916633034146,19,1100
1,0.6356817284570937,0.30996723707647156,0.040825143104006915,11,1200
2,0.0,0.14617554703743504,0.0,28,1200
3,0.36307624601166255,0.0648382971773217,0.0,61,1700
4,0.02979865771812081,0.04215975645506891,0.014073334053353493,5,85
5,0.0,0.2316683055705084,0.0,18,1200
6,0.2457596986854269,0.1747048522675674,0.02062388181651695,161,9600
7,0.0,0.0,0.0013680833063325773,36,86
8,0.0,0.006292295525620379,0.0,20,78
9,0.17757854386612845,0.13498978482420454,0.009474652387041031,31,1400
10,0.14738781418607713,0.1562636925443377,0.038431076070129966,18,1000
11,0.0,0.13424632491654107,0.0,43,1700
12,0.0,0.17182337459735705,0.0,28,1400
13,0.0,0.009819626162979067,0.0,17,83
14,0.0,0.16114105441864957,0.12318419915757643,16,1100
15,0.3628602447690486,0.15709030065340435,0.0329932363106167,96,5700
16,0.0,0.2289706802204879,0.10603196889512906,13,1100
17,0.0,0.0937647689802031,0.0,46,1300
18,0.0,0.9662904810935011,1.0,21,9400
19,0.2910243019984309,0.07477004717434178,0.0,79,2300
20,0.0,0.13300504099315075,0.0,74,2900
21,0.0,0.00656159771499956,0.005811912733556539,13,65
22,0.058165548098434,0.06664092133446244,0.009505391150952227,72,1700
23,0.5593367548361627,0.16265513117227026,0.08025164704611729,15,1100
24,1.0,0.17083593323630003,0.0,24,1700
25,0.0,0.1423796685585666,0.022869640349929797,24,1100
26,0.005740946775293401,0.0014566074850589385,0.0008149564551443804,33,93
27,0.2608764311093565,0.1184656341416953,0.03413435576196133,30,1400
28,0.2769124969754085,0.09750755321856884,0.02019308153531525,31,1200
29,0.3158310303987367,0.0641024988456846,0.0,45,1200
30,0.005344453217528623,0.002543384630971028,0.0,32,95
31,0.500017944944909,0.2481746256225576,0.0,22,1800
32,0.01959587984064889,0.011482483175473686,0.003463951536097556,11,70
33,0.36420710042078713,0.1048087289671296,0.0,41,1600
34,0.0,0.12503211919272433,0.0384507641213954,64,2800
35,0.7876036320568497,0.35764188526899204,0.03756480181445081,8,1000
36,0.0,0.00015391546294571125,0.0,42,92
37,0.24414866617788059,0.1271576829017529,0.02079733232530511,28,1300
38,0.0,0.7217690975913629,0.7150623388186577,41,13500
39,0.0,0.005653949595240098,0.0,18,67
40,0.0,0.23914892194215237,0.0,16,1100
41,0.12317410185550733,0.22233249633869678,0.0,15,1000
42,0.4444757768879364,0.3832640650013541,0.07792418187709256,28,3700
43,0.0,0.003198772939931323,0.0,26,79
44,0.393574053266118,0.25446462081505045,0.06176111392657455,13,1200
45,0.7111366328105374,0.042845579364021225,0.0,55,1600
46,0.495262534544019,0.1331037042577281,0.0254920887784858,24,1300
47,0.06158705092775366,0.06171440112399408,0.0,63,1300
48,0.0,0.14190090911078138,0.0,48,2000
49,0.0,0.23914892194215237,0.0,16,1100
50,0.0,0.21325448065569264,0.08723321176069854,13,1000
51,0.058879927810050206,0.12878631995180792,0.020412571552003458,35,1500
52,0.0,0.07515079379457408,0.0,52,1200
53,0.0,0.00779385924821945,0.0,22,95
54,0.09801652667547002,0.10867665432913527,0.0,29,1000
55,0.5822775724078528,0.3326212636739445,0.06299030918320259,11,1300
56,0.09380181602842479,0.24849670016015857,0.0,15,1100
57,0.43876218530778344,0.3244555693162653,0.033584786527868934,13,1400
58,0.0,1.0,0.0,31,8700
59,0.22666436836574125,0.17930820540075965,0.020947642872028587,71,4300
